"Div";"Date";"HomeTeam";"AwayTeam";"FTHG";"FTAG";"FTR";"HTHG";"HTAG";"HTR";"Referee";"HS";"AS";"HST";"AST";"HF";"AF";"HC";"AC";"HY";"AY";"HR";"AR";"B365H";"B365D";"B365A";"BWH";"BWD";"BWA";"GBH";"GBD";"GBA";"IWH";"IWD";"IWA";"LBH";"LBD";"LBA";"SBH";"SBD";"SBA";"WHH";"WHD";"WHA";"GB>2.5";"GB<2.5";"B365>2.5";"B365<2.5";"GBAHH";"GBAHA";"GBAH";"LBAHH";"LBAHA";"LBAH";"B365AHH";"B365AHA";"B365AH";"Season";"SJH";"SJD";"SJA";"VCH";"VCD";"VCA";"Bb1X2";"BbMxH";"BbAvH";"BbMxD";"BbAvD";"BbMxA";"BbAvA";"BbOU";"BbMx>2.5";"BbAv>2.5";"BbMx<2.5";"BbAv<2.5";"BbAH";"BbAHh";"BbMxAHH";"BbAvAHH";"BbMxAHA";"BbAvAHA";"BSH";"BSD";"BSA";"PSH";"PSD";"PSA";"PSCH";"PSCD";"PSCA"
"E1";"07/08/04";"Burnley";"Sheffield United";"1";"1";"D";"1";"0";"H";"P Joslin";"2";"9";"1";"6";"12";"17";"5";"5";"1";"0";"0";"0";"2.6";"3.4";"2.4";"2.6";"3.2";"2.4";"2.6";"3.2";"2.5";"2.6";"3";"2.3";"2.5";"3.2";"2.5";"2.5";"3.2";"2.5";"2.62";"3.1";"2.37";"1.85";"1.85";"1.85";"1.95";"1.43";"2.5";"0.5";"2";"1.84";"0";"1.925";"1.925";"0";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Coventry";"Sunderland";"2";"0";"H";"0";"0";"D";"R Beeby";"11";"10";"6";"7";"16";"8";"6";"4";"1";"1";"0";"0";"2.4";"3.2";"2.7";"2.4";"3.2";"2.6";"2.55";"3.2";"2.55";"2.3";"3";"2.6";"2.25";"3.2";"2.75";"2.38";"3.2";"2.62";"2.37";"3.1";"2.62";"1.9";"1.79";"2";"1.8";"2.55";"1.42";"-0.5";"2";"1.84";"-0.25";"1.9";"1.95";"0";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Crewe";"Cardiff";"2";"2";"D";"1";"1";"D";"M Thorpe";"9";"18";"7";"7";"14";"12";"3";"6";"0";"1";"0";"0";"2.5";"3.3";"2.5";"2.7";"3.25";"2.3";"2.55";"3.2";"2.55";"2.3";"3";"2.6";"2.4";"3.25";"2.5";"2.4";"3.2";"2.6";"2.37";"3.1";"2.62";"1.85";"1.85";"1.95";"1.85";"2.55";"1.42";"-0.5";"2.06";"1.78";"0";"1.9";"1.95";"0";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Ipswich";"Gillingham";"2";"1";"H";"1";"1";"D";"A Marriner";"20";"7";"13";"4";"14";"9";"13";"7";"0";"1";"0";"0";"1.57";"3.6";"5.5";"1.5";"3.6";"6";"1.63";"3.25";"5.6";"1.6";"3.3";"4.4";"1.57";"3.25";"5.5";"1.62";"3.4";"5";"1.66";"3.1";"5";"1.75";"1.95";"1.75";"2.05";"1.63";"2.06";"-0.5";"1.82";"2.02";"-0.75";"1.9";"1.95";"0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Leeds";"Derby";"1";"0";"H";"0";"0";"D";"M Clattenburg";"14";"15";"8";"8";"10";"11";"4";"9";"0";"1";"0";"0";"1.8";"3.4";"4";"1.65";"3.25";"5";"1.81";"3.2";"4.3";"1.75";"3.1";"3.8";"1.62";"3.5";"4.5";"1.73";"3.25";"4.33";"1.83";"3.2";"3.75";"1.79";"1.9";"1.95";"1.85";"1.81";"1.83";"-0.5";"1.96";"1.88";"-0.5";"1.925";"1.925";"-0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Leicester";"West Ham";"0";"0";"D";"0";"0";"D";"M Ryan";"8";"13";"3";"3";"13";"10";"2";"6";"1";"1";"1";"1";"2.2";"3.2";"3";"2.1";"3.2";"3.1";"2.22";"3.25";"2.95";"2.2";"2.9";"2.9";"2.2";"3.25";"2.75";"2.1";"3.25";"3";"2.2";"3.1";"2.87";"1.9";"1.79";"2";"1.8";"2.22";"1.55";"-0.5";"1.96";"1.88";"-0.75";"2";"1.85";"-0.25";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Plymouth";"Millwall";"0";"0";"D";"0";"0";"D";"I Williamson";"6";"12";"2";"4";"17";"16";"2";"5";"2";"2";"0";"0";"2.3";"3.25";"2.8";"2.5";"3.2";"2.5";"2.35";"3.2";"2.75";"2.2";"3";"2.7";"2.25";"3.2";"2.75";"2.25";"3.2";"2.8";"2.25";"3.2";"2.75";"1.9";"1.79";"1.95";"1.85";"2.35";"1.48";"-0.5";"1.88";"1.96";"-0.75";"1.9";"1.95";"0";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Preston";"Watford";"2";"1";"H";"1";"0";"H";"M Pike";"15";"11";"9";"5";"13";"9";"6";"4";"1";"0";"0";"0";"1.9";"3.25";"3.75";"1.85";"3.25";"3.75";"1.9";"3.2";"3.85";"1.9";"3.1";"3.3";"1.91";"3.25";"3.4";"2";"3.25";"3.25";"1.9";"3.2";"3.5";"1.79";"1.9";"1.9";"1.9";"1.9";"1.75";"-0.5";"1.98";"1.86";"-0.5";"2.1";"1.75";"-0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"QPR";"Rotherham";"1";"1";"D";"1";"1";"D";"P Armstrong";"10";"9";"4";"4";"20";"14";"5";"6";"0";"1";"0";"0";"1.83";"3.25";"4";"1.7";"3.3";"4.5";"1.8";"3.2";"4.3";"1.8";"3.1";"3.6";"1.83";"3.2";"3.75";"1.83";"3.1";"4";"1.8";"3.1";"4";"1.85";"1.85";"1.9";"1.9";"1.8";"1.83";"-0.5";"1.88";"1.96";"-0.5";"1.975";"1.875";"-0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E1";"07/08/04";"Reading";"Brighton";"3";"2";"H";"2";"1";"H";"P Crossley";"8";"7";"5";"6";"10";"8";"7";"1";"1";"2";"0";"0";"1.66";"3.6";"4.5";"1.8";"3.25";"4";"1.75";"3.35";"4.35";"1.75";"3.1";"3.8";"1.67";"3.25";"4.5";"1.73";"3.25";"4.33";"1.72";"3.25";"4.2";"1.85";"1.85";"1.95";"1.85";"1.75";"1.89";"-0.5";"1.92";"1.92";"-0.75";"1.8";"2.05";"-0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
