"Div";"Date";"HomeTeam";"AwayTeam";"FTHG";"FTAG";"FTR";"HTHG";"HTAG";"HTR";"Referee";"HS";"AS";"HST";"AST";"HF";"AF";"HC";"AC";"HY";"AY";"HR";"AR";"B365H";"B365D";"B365A";"BWH";"BWD";"BWA";"GBH";"GBD";"GBA";"IWH";"IWD";"IWA";"LBH";"LBD";"LBA";"SBH";"SBD";"SBA";"WHH";"WHD";"WHA";"GB>2.5";"GB<2.5";"GBAHH";"GBAHA";"GBAH";"LBAHH";"LBAHA";"LBAH";"B365AHH";"B365AHA";"B365AH";"Season";"SJH";"SJD";"SJA";"VCH";"VCD";"VCA";"Bb1X2";"BbMxH";"BbAvH";"BbMxD";"BbAvD";"BbMxA";"BbAvA";"BbOU";"BbMx>2.5";"BbAv>2.5";"BbMx<2.5";"BbAv<2.5";"BbAH";"BbAHh";"BbMxAHH";"BbAvAHH";"BbMxAHA";"BbAvAHA";"BSH";"BSD";"BSA";"PSH";"PSD";"PSA";"PSCH";"PSCD";"PSCA"
"E2";"07/08/04";"Bristol City";"Torquay";"1";"1";"D";"0";"0";"D";"A Hall";"14";"8";"8";"4";"15";"18";"7";"4";"2";"3";"0";"0";"1.53";"3.6";"6";"1.5";"3.6";"6";"1.6";"3.4";"5.5";"1.55";"3.4";"4.6";"1.5";"3.4";"6";"1.5";"3.5";"6";"1.61";"3.1";"5.5";"1.71";"2";"1.6";"2.1";"-0.5";"1.76";"2.08";"-0.75";"2";"1.85";"-1";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Chesterfield";"Brentford";"3";"1";"H";"1";"0";"H";"E Ilderton";"12";"9";"4";"5";"10";"8";"3";"6";"0";"1";"0";"0";"2.4";"3.2";"2.7";"2.25";"3.25";"2.75";"2.5";"3.15";"2.6";"2.4";"3.1";"2.4";"2.4";"3.25";"2.5";"2.38";"3.2";"2.62";"2.5";"3.1";"2.5";"1.85";"1.85";"2.5";"1.42";"-0.5";"1.8";"2.04";"0";"1.85";"2";"0";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Doncaster";"Blackpool";"2";"0";"H";"1";"0";"H";"P Danson";"16";"4";"6";"2";"12";"14";"11";"3";"0";"2";"0";"0";"2";"3.25";"3.4";"2.1";"3.2";"3.1";"2.05";"3.25";"3.25";"1.9";"3.1";"3.3";"1.8";"3.25";"3.75";"2";"3.25";"3.25";"2";"3.1";"3.3";"1.75";"1.95";"2.05";"1.63";"-0.5";"2.08";"1.76";"-0.5";"1.8";"2.05";"-0.25";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Hartlepool";"Bradford";"2";"1";"H";"0";"0";"D";"G Salisbury";"16";"11";"11";"8";"8";"13";"8";"5";"0";"1";"0";"0";"2";"3.25";"3.4";"1.8";"3.25";"4";"1.95";"3.2";"3.6";"2";"3";"3.1";"1.83";"3.4";"3.5";"1.91";"3.25";"3.5";"1.83";"3.2";"3.75";"1.75";"1.95";"1.95";"1.69";"-0.5";"1.78";"2.06";"-0.25";"1.825";"2.025";"-0.25";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Hull";"Bournemouth";"1";"0";"H";"1";"0";"H";"P Prosser";"16";"14";"9";"6";"12";"5";"6";"4";"3";"0";"0";"1";"1.8";"3.2";"4.33";"1.6";"3.5";"5";"1.75";"3.3";"4.4";"1.75";"3.1";"3.8";"1.83";"3.2";"3.75";"1.8";"3.25";"4";"1.72";"3.1";"4.5";"1.75";"1.95";"1.75";"1.89";"-0.5";"1.82";"2.02";"-0.5";"1.875";"1.975";"-0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Luton";"Oldham";"2";"1";"H";"1";"1";"D";"K Wright";"6";"8";"5";"7";"17";"10";"6";"6";"2";"0";"0";"0";"1.9";"3.25";"3.75";"1.85";"3.25";"3.75";"2";"3.1";"3.6";"2.1";"2.9";"3";"1.83";"3.2";"3.75";"2";"3.25";"3.25";"2.1";"3.1";"3.1";"1.85";"1.85";"2";"1.67";"-0.5";"2.08";"1.76";"-0.5";"2.05";"1.8";"-0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Milton Keynes Dons";"Barnsley";"1";"1";"D";"0";"1";"A";"K Hill";"12";"4";"5";"1";"16";"19";"4";"12";"1";"0";"0";"0";"2.4";"3.4";"2.6";"2.25";"3.25";"2.75";"2.5";"3.15";"2.6";"2.4";"3.1";"2.4";"2.4";"3.25";"2.5";"2.5";"3.2";"2.5";"2.5";"3.1";"2.5";"1.75";"1.95";"2.5";"1.42";"-0.5";"2.08";"1.76";"-0.25";"1.875";"1.975";"0";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Peterboro";"Tranmere";"1";"0";"H";"0";"0";"D";"L Cable";"14";"6";"10";"2";"19";"14";"7";"3";"4";"2";"0";"0";"2.7";"3.25";"2.37";"2.8";"3.1";"2.3";"2.8";"3.15";"2.35";"2.7";"2.9";"2.3";"2.6";"3.2";"2.38";"2.75";"3.25";"2.25";"2.62";"3.1";"2.37";"1.85";"1.85";"1.48";"2.35";"0.5";"2.04";"1.8";"0";"2.05";"1.8";"0";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Sheffield Weds";"Colchester";"0";"3";"A";"0";"0";"D";"P Taylor";"8";"18";"4";"11";"14";"9";"4";"6";"1";"2";"0";"0";"1.72";"3.4";"4.5";"1.65";"3.5";"4.5";"1.8";"3.2";"4.3";"1.8";"3.1";"3.6";"1.73";"3.2";"4.33";"1.67";"3.4";"4.5";"1.83";"3";"4";"1.85";"1.85";"1.8";"1.83";"-0.5";"1.82";"2.02";"-0.5";"1.825";"2.025";"-0.5";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E2";"07/08/04";"Stockport";"Huddersfield";"2";"3";"A";"0";"1";"A";"T Parkes";"9";"8";"4";"4";"14";"16";"9";"5";"1";"3";"0";"0";"2.1";"3.25";"3.2";"2.2";"3.2";"2.9";"2.15";"3.15";"3.15";"2.1";"2.9";"3";"2.1";"3.2";"3";"2.1";"3.25";"3";"2.1";"3.1";"3.1";"1.79";"1.9";"2.15";"1.58";"-0.5";"1.88";"1.96";"-0.25";"1.95";"1.9";"-0.25";"2004/2005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
