"Div";"Date";"HomeTeam";"AwayTeam";"FTHG";"FTAG";"FTR";"HTHG";"HTAG";"HTR";"HS";"AS";"HST";"AST";"HY";"AY";"HR";"AR";"B365H";"B365D";"B365A";"BWH";"BWD";"BWA";"GBH";"GBD";"GBA";"IWH";"IWD";"IWA";"LBH";"LBD";"LBA";"SBH";"SBD";"SBA";"WHH";"WHD";"WHA";"SJH";"SJD";"SJA";"VCH";"VCD";"VCA";"Bb1X2";"BbMxH";"BbAvH";"BbMxD";"BbAvD";"BbMxA";"BbAvA";"BbOU";"BbMx>2.5";"BbAv>2.5";"BbMx<2.5";"BbAv<2.5";"BbAH";"BbAHh";"BbMxAHH";"BbAvAHH";"BbMxAHA";"BbAvAHA";"Season";"HC";"AC";"HF";"AF";"BSH";"BSD";"BSA";"PSH";"PSD";"PSA";"PSCH";"PSCD";"PSCA"
"F1";"29/07/05";"Paris SG";"Metz";"4";"1";"H";"2";"0";"H";"16";"11";"9";"7";"2";"3";"0";"0";"1.5";"3.4";"6.5";"1.45";"3.8";"7";"1.5";"3.5";"6.5";"1.6";"3.2";"5";"1.53";"3.4";"5.5";"1.53";"3.4";"6";"1.5";"3.3";"6.5";"1.5";"3.5";"7";"1.5";"3.4";"7";"53";"1.6";"1.51";"3.85";"3.45";"9";"6.34";"31";"2.25";"2.11";"1.75";"1.62";"12";"-1";"2.02";"1.98";"1.9";"1.86";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"Lille";"Rennes";"1";"0";"H";"1";"0";"H";"14";"8";"5";"5";"2";"3";"0";"0";"1.8";"3";"4.33";"1.9";"3";"4.25";"1.9";"3";"4.1";"1.9";"2.9";"3.8";"1.91";"3";"3.75";"1.83";"3.1";"4.2";"1.83";"3";"4";"2";"2.88";"4";"1.85";"3";"4.35";"54";"1.95";"1.84";"3.25";"3.02";"5";"4.21";"35";"2.4";"2.24";"1.66";"1.54";"13";"-0.5";"1.9";"1.85";"2.05";"2";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"Marseille";"Bordeaux";"0";"2";"A";"0";"1";"A";"7";"9";"3";"4";"2";"4";"1";"0";"1.72";"3.2";"4.5";"1.65";"3.3";"5.25";"1.75";"3.2";"4.5";"1.75";"3";"4.4";"";"";"";"1.67";"3.25";"5";"1.66";"3.1";"5";"1.73";"3.2";"4.75";"1.75";"3";"5";"54";"1.8";"1.71";"3.4";"3.15";"5.75";"4.83";"35";"2.55";"2.23";"1.62";"1.55";"12";"-0.75";"2.05";"2.02";"1.9";"1.84";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"Nancy";"Monaco";"0";"1";"A";"0";"0";"D";"10";"5";"6";"3";"2";"2";"2";"0";"3.75";"3.1";"1.9";"3.8";"3.2";"1.9";"3.9";"3.1";"1.9";"3.3";"2.8";"2.1";"3.4";"3";"2";"3.6";"3";"2";"4";"2.87";"1.9";"4";"3.1";"1.91";"3.75";"3.25";"2";"53";"4.75";"3.77";"3.2";"2.99";"2.25";"1.97";"35";"2.45";"2.22";"1.7";"1.55";"14";"0.5";"1.95";"1.87";"2.05";"1.96";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"Nantes";"Lens";"2";"0";"H";"2";"0";"H";"10";"10";"3";"3";"1";"3";"0";"0";"2.25";"3";"3";"2.1";"3.1";"3.35";"2.25";"3";"3.05";"2.3";"2.7";"3";"2.2";"3";"3";"2.2";"3";"3.1";"2.3";"2.9";"2.9";"2.2";"3";"3.2";"2.2";"3";"3.2";"54";"2.42";"2.23";"3.15";"2.91";"3.8";"3.12";"35";"2.55";"2.3";"1.65";"1.52";"14";"-0.25";"2.15";"2.07";"1.85";"1.79";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"Nice";"Troyes";"1";"1";"D";"1";"0";"H";"13";"5";"6";"5";"2";"2";"0";"1";"1.66";"3.2";"5";"1.7";"3";"5.5";"1.8";"3";"4.6";"1.8";"2.9";"4.2";"1.8";"3";"4.33";"1.75";"3.2";"4.33";"1.83";"2.87";"4.33";"1.8";"3.1";"4.5";"1.75";"3";"5";"53";"1.85";"1.74";"3.5";"3.07";"5.75";"4.78";"35";"2.5";"2.2";"1.7";"1.56";"12";"-0.5";"1.8";"1.71";"2.2";"2.14";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"Sochaux";"Toulouse";"0";"1";"A";"0";"1";"A";"14";"7";"7";"4";"2";"3";"0";"0";"2";"3";"3.5";"2.05";"3";"3.55";"2";"3.1";"3.5";"2";"2.9";"3.4";"2.1";"3";"3.2";"1.91";"3";"4";"2.15";"2.9";"3.2";"2.1";"3";"3.5";"2";"3";"3.75";"54";"2.25";"2.05";"3.1";"2.96";"3.95";"3.5";"35";"2.38";"2.19";"1.65";"1.56";"14";"-0.25";"1.92";"1.88";"2.01";"1.98";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"St Etienne";"Ajaccio";"0";"0";"D";"0";"0";"D";"10";"5";"6";"3";"1";"2";"0";"0";"1.66";"3.2";"5";"1.8";"3.15";"4.5";"1.75";"3.2";"4.5";"1.7";"3";"4.6";"1.73";"2.88";"5";"1.75";"3.2";"4.33";"1.66";"3.1";"5";"1.67";"3.25";"5";"1.65";"3.1";"5.5";"53";"1.75";"1.65";"3.5";"3.18";"6.15";"5.22";"34";"2.5";"2.17";"1.67";"1.58";"11";"-0.75";"1.81";"1.78";"2.13";"2.09";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"30/07/05";"Strasbourg";"Auxerre";"0";"0";"D";"0";"0";"D";"15";"5";"3";"0";"1";"0";"1";"1";"2.2";"2.87";"3.2";"2.25";"3";"3.15";"2.25";"2.9";"3.2";"2";"2.9";"3.4";"2.25";"2.88";"3";"2.3";"2.88";"3.1";"2.25";"2.87";"3";"2.2";"3";"3.2";"2.25";"3";"3.2";"53";"2.3";"2.21";"3.1";"2.91";"3.5";"3.17";"35";"2.34";"2.11";"1.72";"1.61";"14";"-0.25";"1.95";"1.89";"2.02";"1.97";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"31/07/05";"Le Mans";"Lyon";"1";"2";"A";"0";"1";"A";"11";"6";"4";"3";"1";"2";"0";"0";"4.33";"3";"1.8";"5";"3.2";"1.7";"4.4";"3.1";"1.8";"3.8";"3";"1.85";"4.5";"2.88";"1.8";"4.33";"3.1";"1.8";"4.2";"3";"1.8";"4.5";"3.1";"1.8";"4.5";"3";"1.8";"50";"6.25";"4.54";"3.25";"3.04";"1.85";"1.78";"30";"2.35";"2.13";"1.75";"1.59";"8";"0.5";"2.19";"2.09";"1.8";"1.77";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Ajaccio";"Lille";"3";"3";"D";"2";"2";"D";"17";"10";"6";"6";"1";"3";"0";"0";"2.62";"3";"2.5";"2.8";"2.8";"2.6";"2.75";"2.75";"2.6";"2.6";"2.8";"2.6";"2.62";"2.88";"2.5";"2.7";"2.8";"2.62";"2.6";"2.8";"2.6";"2.7";"2.88";"2.6";"2.5";"2.75";"2.75";"52";"3.1";"2.69";"3.1";"2.84";"2.75";"2.57";"32";"2.7";"2.37";"1.6";"1.49";"17";"0";"1.95";"1.9";"1.97";"1.91";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Bordeaux";"Nancy";"1";"0";"H";"1";"0";"H";"7";"9";"6";"4";"2";"2";"0";"0";"1.61";"3.4";"5";"1.6";"3.15";"6.5";"1.65";"3.15";"5.25";"1.7";"3.1";"4.4";"1.67";"2.88";"5.5";"1.62";"3.25";"5.5";"1.53";"3.25";"6";"1.57";"3.25";"6.5";"1.55";"3.25";"5.5";"52";"1.7";"1.61";"3.5";"3.21";"7";"5.58";"33";"2.5";"2.23";"1.7";"1.54";"15";"-0.75";"1.85";"1.79";"2.12";"2.08";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Lens";"Marseille";"2";"0";"H";"1";"0";"H";"15";"3";"7";"2";"2";"3";"0";"0";"2.4";"2.87";"2.87";"2.45";"3";"2.8";"2.3";"2.9";"3";"2.3";"2.7";"3";"2.38";"2.8";"2.88";"2.4";"2.9";"3.1";"2.2";"2.87";"3.1";"2.25";"3";"3.1";"2.3";"2.8";"3";"53";"2.6";"2.29";"3.15";"2.91";"3.85";"3.02";"33";"2.6";"2.3";"1.6";"1.52";"16";"-0.25";"1.93";"1.87";"2.03";"1.99";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Metz";"Le Mans";"0";"0";"D";"0";"0";"D";"9";"14";"6";"8";"1";"2";"0";"0";"1.9";"3.1";"3.75";"2.05";"2.9";"3.7";"2";"3";"3.6";"1.9";"3";"3.6";"2";"2.88";"3.6";"2";"3";"3.6";"2";"3";"3.4";"2.1";"2.88";"3.6";"1.85";"3";"4";"52";"2.1";"1.94";"3.1";"2.97";"4.6";"3.89";"33";"2.55";"2.25";"1.64";"1.54";"16";"-0.5";"2.05";"2.01";"1.88";"1.83";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Monaco";"Auxerre";"0";"2";"A";"0";"1";"A";"10";"11";"3";"5";"2";"2";"1";"0";"1.72";"3.2";"4.5";"1.75";"3";"5";"1.7";"3.15";"4.8";"1.7";"3.1";"4.4";"1.73";"2.88";"5";"1.73";"3.1";"4.75";"1.66";"3.1";"5";"1.67";"3.2";"5.25";"1.65";"3.1";"5";"51";"1.85";"1.66";"3.3";"3.18";"6.5";"5.11";"30";"2.35";"2.14";"1.75";"1.6";"14";"-0.75";"1.76";"1.73";"2.21";"2.15";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Sochaux";"Paris SG";"0";"1";"A";"0";"0";"D";"11";"6";"7";"3";"3";"2";"0";"0";"2.62";"3";"2.5";"2.9";"3.05";"2.35";"2.75";"3";"2.4";"2.8";"2.8";"2.4";"2.62";"2.88";"2.5";"2.88";"2.88";"2.4";"2.9";"2.8";"2.37";"3.1";"2.88";"2.3";"2.75";"2.9";"2.4";"53";"3.4";"2.91";"3.05";"2.91";"2.6";"2.35";"33";"2.3";"2.13";"1.75";"1.6";"17";"0";"2.25";"2.1";"1.78";"1.71";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Toulouse";"Nice";"0";"2";"A";"0";"2";"A";"8";"7";"2";"4";"1";"2";"0";"0";"1.9";"3";"3.75";"2";"2.85";"4";"1.9";"3";"3.95";"1.9";"3";"3.6";"1.91";"3";"3.75";"1.91";"3";"4";"1.8";"3";"4.2";"1.83";"3.1";"4.33";"1.85";"3";"4";"51";"2.1";"1.86";"3.2";"3";"5";"4.15";"32";"2.55";"2.27";"1.57";"1.52";"14";"-0.5";"1.95";"1.89";"2";"1.96";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"06/08/05";"Troyes";"St Etienne";"0";"0";"D";"0";"0";"D";"8";"13";"4";"3";"1";"2";"0";"0";"2.5";"3";"2.62";"2.55";"3.05";"2.6";"2.55";"2.8";"2.75";"2.5";"2.8";"2.7";"2.5";"2.88";"2.62";"2.6";"2.8";"2.75";"2.4";"2.8";"2.87";"2.6";"2.88";"2.7";"2.4";"2.75";"2.9";"50";"2.75";"2.51";"3.05";"2.87";"3";"2.76";"32";"2.55";"2.23";"1.6";"1.54";"14";"0";"1.87";"1.84";"2.05";"1.97";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"07/08/05";"Lyon";"Strasbourg";"1";"0";"H";"1";"0";"H";"6";"6";"3";"3";"2";"1";"0";"0";"1.4";"3.75";"7.5";"1.4";"3.8";"8";"1.4";"3.75";"7.5";"1.4";"3.7";"6.5";"1.4";"3.75";"7";"1.36";"4.2";"9";"1.4";"3.75";"7";"1.36";"4";"8.5";"1.35";"3.75";"8.5";"42";"1.4";"1.37";"4.4";"3.9";"10.5";"7.89";"26";"2.2";"1.97";"1.95";"1.69";"7";"-1.25";"1.9";"1.86";"2.03";"1.98";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"07/08/05";"Rennes";"Nantes";"0";"3";"A";"0";"1";"A";"10";"11";"6";"8";"1";"1";"1";"0";"1.8";"3";"4.33";"1.8";"2.95";"4.8";"1.8";"3";"4.5";"1.85";"3";"3.8";"1.83";"3";"4";"1.83";"3.1";"4.75";"1.95";"2.9";"3.75";"1.83";"3.1";"4.33";"1.85";"3";"4";"47";"1.9";"1.82";"3.2";"2.99";"5.5";"4.4";"30";"2.45";"2.26";"1.65";"1.53";"8";"-0.5";"1.87";"1.85";"2.05";"1.98";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"13/08/05";"Auxerre";"Bordeaux";"1";"0";"H";"1";"0";"H";"12";"7";"7";"3";"0";"0";"0";"0";"2";"3";"3.5";"1.85";"3";"4.4";"2.1";"3.1";"3.2";"2.1";"2.9";"3.2";"2";"3";"3.4";"2";"3";"3.75";"2";"3";"3.4";"2";"3";"3.75";"2";"2.9";"3.6";"43";"2.1";"2";"3.15";"2.98";"4.05";"3.59";"26";"2.55";"2.28";"1.65";"1.53";"12";"-0.25";"1.81";"1.79";"2.09";"2.04";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"13/08/05";"Le Mans";"Rennes";"4";"0";"H";"2";"0";"H";"17";"8";"9";"1";"2";"3";"0";"1";"2.4";"2.87";"2.8";"2.8";"2.9";"2.5";"2.5";"2.85";"2.75";"2.4";"2.7";"2.9";"2.5";"2.88";"2.62";"2.5";"2.88";"2.8";"2.4";"2.8";"2.87";"2.5";"2.8";"2.88";"2.4";"2.75";"2.9";"40";"2.6";"2.46";"3";"2.87";"3.05";"2.84";"25";"2.5";"2.28";"1.55";"1.52";"12";"-0.25";"2.05";"2.02";"1.84";"1.8";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"13/08/05";"Lille";"Troyes";"1";"2";"A";"0";"2";"A";"12";"8";"6";"5";"2";"3";"0";"0";"1.61";"3.3";"5";"1.45";"3.5";"8";"1.57";"3.4";"5.5";"1.65";"3.1";"4.8";"1.57";"3.25";"5.5";"1.53";"3.4";"6.5";"1.57";"3.3";"5.5";"1.53";"3.4";"6.5";"1.55";"3.1";"6";"41";"1.61";"1.55";"3.6";"3.33";"7.5";"6.17";"26";"2.3";"2.17";"1.68";"1.59";"12";"-1";"2.05";"2";"1.88";"1.82";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"F1";"13/08/05";"Nancy";"Lens";"1";"2";"A";"0";"2";"A";"8";"10";"4";"6";"1";"1";"0";"0";"2.6";"2.75";"2.7";"2.4";"2.9";"2.95";"2.65";"2.75";"2.7";"2.5";"2.8";"2.7";"2.5";"2.88";"2.62";"2.6";"2.88";"2.62";"2.6";"2.8";"2.6";"2.5";"2.8";"2.88";"2.5";"2.8";"2.7";"42";"2.8";"2.61";"3";"2.84";"2.95";"2.68";"26";"2.7";"2.27";"1.57";"1.53";"12";"0";"1.98";"1.92";"1.97";"1.89";"2005/2006";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
