"Div";"Date";"HomeTeam";"AwayTeam";"FTHG";"FTAG";"FTR";"HTHG";"HTAG";"HTR";"HS";"AS";"HST";"AST";"HFKC";"AFKC";"HC";"AC";"HY";"AY";"HR";"AR";"B365H";"B365D";"B365A";"BWH";"BWD";"BWA";"IWH";"IWD";"IWA";"LBH";"LBD";"LBA";"PSH";"PSD";"PSA";"WHH";"WHD";"WHA";"VCH";"VCD";"VCA";"Bb1X2";"BbMxH";"BbAvH";"BbMxD";"BbAvD";"BbMxA";"BbAvA";"BbOU";"BbMx>2.5";"BbAv>2.5";"BbMx<2.5";"BbAv<2.5";"BbAH";"BbAHh";"BbMxAHH";"BbAvAHH";"BbMxAHA";"BbAvAHA";"PSCH";"PSCD";"PSCA";"Season"
"G1";"19/08/17";"Asteras Tripolis";"Giannina";"1";"2";"A";"0";"2";"A";"14";"9";"9";"4";"14";"15";"3";"4";"1";"3";"0";"0";"1.7";"3.4";"5.5";"1.67";"3.4";"5.25";"1.7";"3.45";"5";"1.75";"3.25";"4.8";"1.79";"3.52";"5.43";"1.73";"3.3";"4.8";"1.7";"3.4";"5";"34";"1.81";"1.71";"3.75";"3.36";"5.5";"4.9";"29";"2.3";"2.24";"1.67";"1.6";"13";"-0.5";"1.81";"1.74";"2.2";"2.14";"1.9";"3.47";"4.73";"2017/2018"
"G1";"19/08/17";"Olympiakos";"Larisa";"4";"1";"H";"1";"0";"H";"16";"3";"10";"1";"18";"21";"6";"3";"2";"2";"0";"0";"1.17";"7";"15";"1.17";"7.5";"11";"1.16";"6.75";"14.25";"";"";"";"";"";"";"1.17";"6.5";"13";"";"";"";"23";"1.17";"1.15";"7.5";"6.73";"17.5";"14.52";"17";"1.53";"1.5";"2.5";"2.42";"2";"-2";"1.9";"1.88";"1.91";"1.85";"1.2";"7.52";"16.42";"2017/2018"
"G1";"19/08/17";"Xanthi";"Lamia";"0";"0";"D";"0";"0";"D";"8";"4";"4";"1";"17";"19";"4";"4";"2";"5";"0";"0";"1.67";"3.3";"6";"1.62";"3.5";"5.75";"1.6";"3.4";"6";"1.61";"3.3";"6";"1.63";"3.52";"7.81";"1.62";"3.3";"6";"1.62";"3.3";"6.25";"32";"1.67";"1.61";"3.52";"3.35";"7.81";"6.16";"28";"2.85";"2.62";"1.48";"1.44";"10";"-0.75";"1.9";"1.85";"2.07";"1.98";"1.76";"3.39";"6.16";"2017/2018"
"G1";"20/08/17";"AEK";"Panetolikos";"2";"0";"H";"1";"0";"H";"11";"10";"5";"4";"13";"16";"2";"4";"2";"6";"1";"1";"1.36";"4.5";"9";"1.33";"4.6";"8.75";"1.3";"4.6";"11";"1.3";"4.5";"12";"1.33";"5";"13.94";"1.36";"4.2";"8.5";"1.29";"4.6";"11.5";"34";"1.36";"1.3";"5";"4.53";"13.94";"10.65";"32";"2.18";"2.09";"1.78";"1.7";"13";"-1.25";"1.8";"1.75";"2.17";"2.11";"1.32";"5.28";"13.23";"2017/2018"
"G1";"20/08/17";"Kerkyra";"Panionios";"0";"1";"A";"0";"0";"D";"4";"10";"1";"4";"19";"16";"7";"9";"4";"2";"0";"0";"3.75";"3.1";"2.1";"3.4";"3";"2.2";"3.65";"2.95";"2.15";"3.6";"2.9";"2.15";"4.1";"3.07";"2.2";"3.6";"2.88";"2.15";"3.6";"3";"2.15";"34";"4.1";"3.6";"3.1";"2.94";"2.33";"2.13";"29";"2.8";"2.64";"1.46";"1.43";"14";"0.25";"2.11";"2.01";"1.97";"1.83";"3.95";"2.97";"2.3";"2017/2018"
"G1";"20/08/17";"Levadeiakos";"PAOK";"0";"0";"D";"0";"0";"D";"8";"17";"1";"6";"13";"9";"3";"6";"4";"2";"0";"0";"6";"4";"1.53";"5.5";"4.33";"1.5";"6";"3.95";"1.5";"6.5";"3.9";"1.5";"8.05";"4.22";"1.51";"6";"3.75";"1.53";"6.25";"3.9";"1.5";"33";"8.05";"6.22";"4.33";"3.91";"1.53";"1.49";"32";"1.98";"1.89";"1.95";"1.85";"14";"1";"2.01";"1.92";"1.96";"1.88";"6.79";"4.26";"1.56";"2017/2018"
"G1";"20/08/17";"Platanias";"Panathinaikos";"1";"1";"D";"0";"0";"D";"7";"5";"6";"2";"24";"15";"3";"2";"4";"1";"0";"0";"4.2";"3.1";"2";"3.9";"3.3";"1.91";"4.05";"3.1";"1.95";"4";"3";"2";"4.63";"3.22";"2";"3.75";"3";"2.05";"4.1";"3.1";"1.95";"35";"4.63";"3.98";"3.3";"3.05";"2.05";"1.98";"30";"2.7";"2.53";"1.5";"1.48";"14";"0.5";"1.9";"1.85";"2.07";"1.99";"4.94";"3.35";"1.91";"2017/2018"
"G1";"21/08/17";"Atromitos";"Apollon";"1";"1";"D";"0";"0";"D";"19";"6";"7";"4";"20";"15";"7";"3";"4";"2";"0";"0";"1.75";"3.25";"5.25";"1.75";"3.4";"4.75";"1.75";"3.3";"5";"1.75";"3.2";"5";"1.81";"3.42";"5.57";"1.73";"3.2";"5";"1.7";"3.3";"5.25";"3";"1.81";"1.74";"3.42";"3.24";"5.57";"5";"2";"2.51";"2.42";"1.56";"1.52";"1";"-0.5";"1.81";"1.75";"2.19";"2.12";"2.09";"3.25";"4.11";"2017/2018"
"G1";"26/08/17";"Lamia";"Olympiakos";"0";"1";"A";"0";"1";"A";"11";"7";"3";"3";"15";"22";"1";"5";"4";"6";"0";"1";"15";"7";"1.17";"16.5";"6";"1.17";"15.75";"6";"1.18";"19";"6";"1.18";"";"";"";"15";"6";"1.17";"15";"6.25";"1.17";"32";"19";"14.74";"7.6";"6.27";"1.2";"1.17";"27";"1.83";"1.72";"2.2";"2.03";"11";"2";"1.8";"1.75";"2.2";"2.11";"23.5";"8.05";"1.16";"2017/2018"
"G1";"26/08/17";"Panetolikos";"Atromitos";"2";"2";"D";"0";"1";"A";"7";"5";"6";"2";"19";"27";"5";"2";"5";"3";"0";"0";"2.4";"3";"3.2";"2.3";"3";"3.25";"2.4";"2.95";"3.05";"2.45";"2.9";"3";"2.52";"3.1";"3.27";"2.45";"2.88";"3";"2.38";"3";"3.1";"34";"2.52";"2.41";"3.15";"2.95";"3.27";"3.03";"29";"2.63";"2.52";"1.52";"1.48";"12";"-0.25";"2.12";"2.07";"1.83";"1.79";"2.23";"3.04";"4.03";"2017/2018"
"G1";"26/08/17";"Platanias";"Xanthi";"0";"2";"A";"0";"2";"A";"13";"6";"8";"4";"20";"14";"5";"5";"4";"5";"0";"0";"2.3";"3";"3.4";"2.15";"2.95";"3.6";"2.35";"2.9";"3.2";"2.37";"2.8";"3.2";"2.46";"3";"3.5";"2.38";"2.8";"3.2";"2.3";"2.9";"3.25";"34";"2.46";"2.34";"3";"2.88";"3.6";"3.24";"29";"2.86";"2.71";"1.44";"1.42";"12";"-0.25";"2.06";"2.02";"1.88";"1.83";"2.13";"3.12";"4.24";"2017/2018"
"G1";"27/08/17";"Giannina";"AEK";"0";"0";"D";"0";"0";"D";"9";"5";"5";"3";"17";"9";"3";"2";"3";"3";"0";"0";"4";"3.3";"1.95";"4";"3.4";"1.85";"4";"3.25";"1.9";"3.8";"3.1";"1.95";"4.23";"3.35";"2.04";"4";"3.2";"1.91";"3.9";"3.3";"1.93";"33";"4.23";"3.87";"3.4";"3.26";"2.04";"1.93";"29";"2.27";"2.18";"1.68";"1.63";"12";"0.5";"1.92";"1.88";"2.04";"1.97";"4.73";"3.47";"1.9";"2017/2018"
"G1";"27/08/17";"Panathinaikos";"Levadeiakos";"0";"0";"D";"0";"0";"D";"11";"13";"6";"5";"16";"22";"4";"2";"4";"2";"1";"0";"1.17";"7";"15";"1.14";"7";"16";"1.16";"6.25";"17.5";"1.17";"6.5";"21";"1.2";"7.25";"19.5";"1.15";"6";"19";"1.15";"6.5";"17";"33";"1.2";"1.15";"7.35";"6.44";"25.7";"17.14";"31";"1.9";"1.78";"2.1";"1.97";"11";"-2";"2.07";"2.03";"1.86";"1.82";"1.22";"6.55";"18.5";"2017/2018"
"G1";"27/08/17";"Panionios";"Apollon";"2";"0";"H";"1";"0";"H";"10";"5";"8";"2";"22";"10";"4";"5";"1";"2";"0";"0";"1.6";"3.3";"6.5";"1.65";"3.1";"6.5";"1.6";"3.4";"6";"1.61";"3.3";"6";"1.65";"3.51";"7.39";"1.62";"3.25";"6";"1.62";"3.4";"6";"33";"1.73";"1.62";"3.6";"3.36";"7.39";"5.89";"27";"2.7";"2.55";"1.5";"1.47";"12";"-0.75";"1.9";"1.86";"2.04";"1.99";"1.67";"3.73";"6.42";"2017/2018"
"G1";"27/08/17";"PAOK";"Kerkyra";"3";"1";"H";"1";"1";"D";"24";"5";"12";"3";"19";"7";"9";"0";"2";"1";"0";"0";"1.07";"8.5";"21";"1.08";"9";"23";"1.07";"9.25";"25";"";"";"";"";"";"";"1.06";"9.5";"23";"1.06";"10";"26";"27";"1.1";"1.07";"10.5";"9.34";"34";"23.71";"25";"1.3";"1.26";"3.75";"3.53";"6";"-2.25";"1.63";"1.59";"2.49";"2.42";"";"";NA;"2017/2018"
"G1";"28/08/17";"Larisa";"Asteras Tripolis";"1";"1";"D";"0";"0";"D";"9";"9";"3";"5";"15";"21";"5";"3";"1";"5";"0";"0";"2.9";"3";"2.6";"2.8";"2.95";"2.6";"3";"2.95";"2.45";"2.75";"2.87";"2.65";"2.93";"3.02";"2.83";"2.75";"2.8";"2.7";"2.75";"2.9";"2.7";"31";"2.93";"2.75";"3.2";"2.94";"2.83";"2.64";"27";"2.7";"2.57";"1.5";"1.47";"12";"0";"2";"1.94";"1.95";"1.9";"3.07";"3.36";"2.48";"2017/2018"
"G1";"09/09/17";"Asteras Tripolis";"Lamia";"1";"3";"A";"0";"2";"A";"18";"6";"9";"5";"20";"21";"7";"3";"5";"1";"0";"0";"1.55";"3.3";"8.5";"1.57";"3.5";"7.75";"1.55";"3.4";"6.75";"1.57";"3.3";"7";"1.59";"3.7";"7.95";"1.57";"3.25";"7";"1.55";"3.4";"7";"30";"1.64";"1.57";"3.7";"3.4";"8.5";"6.77";"27";"2.83";"2.68";"1.46";"1.43";"10";"-0.75";"1.82";"1.79";"2.16";"2.08";"1.75";"3.45";"6.15";"2017/2018"
"G1";"09/09/17";"Atromitos";"Giannina";"0";"0";"D";"0";"0";"D";"18";"8";"8";"3";"15";"18";"6";"2";"2";"3";"0";"0";"2";"3.1";"4.2";"2.1";"3.1";"4";"2.05";"3";"3.85";"2.05";"2.9";"3.8";"2.11";"3.15";"4.3";"2";"2.9";"4";"2.05";"3";"3.9";"31";"2.14";"2.04";"3.15";"3";"4.3";"3.83";"27";"2.79";"2.64";"1.5";"1.44";"10";"-0.25";"1.81";"1.76";"2.17";"2.11";"1.96";"3.31";"4.68";"2017/2018"
"G1";"09/09/17";"Xanthi";"Olympiakos";"1";"1";"D";"1";"1";"D";"13";"10";"6";"3";"16";"18";"5";"7";"6";"2";"0";"0";"9";"4.2";"1.4";"8.5";"4.25";"1.44";"8.5";"4";"1.4";"";"";"";"9.22";"4.24";"1.47";"9";"3.75";"1.4";"9";"3.9";"1.4";"30";"9.22";"8.36";"4.25";"3.98";"1.47";"1.4";"24";"2.5";"2.34";"1.62";"1.55";"11";"1.25";"1.83";"1.78";"2.19";"2.09";"6.8";"3.97";"1.6";"2017/2018"
