"Div";"Date";"HomeTeam";"AwayTeam";"FTHG";"FTAG";"FTR";"HTHG";"HTAG";"HTR";"HS";"AS";"HST";"AST";"HF";"AF";"HC";"AC";"HY";"AY";"HR";"AR";"B365H";"B365D";"B365A";"BWH";"BWD";"BWA";"IWH";"IWD";"IWA";"LBH";"LBD";"LBA";"PSH";"PSD";"PSA";"WHH";"WHD";"WHA";"VCH";"VCD";"VCA";"Bb1X2";"BbMxH";"BbAvH";"BbMxD";"BbAvD";"BbMxA";"BbAvA";"BbOU";"BbMx>2.5";"BbAv>2.5";"BbMx<2.5";"BbAv<2.5";"BbAH";"BbAHh";"BbMxAHH";"BbAvAHH";"BbMxAHA";"BbAvAHA";"PSCH";"PSCD";"PSCA";"Season"
"N1";"11/08/17";"Den Haag";"Utrecht";"0";"3";"A";"0";"1";"A";"17";"16";"6";"8";"11";"12";"8";"5";"2";"1";"0";"0";"3.6";"3.4";"2.05";"3.9";"3.6";"1.95";"3.3";"3.3";"2";"3.6";"3.2";"2.1";"3.84";"3.62";"2.05";"3.5";"3.4";"2";"3.8";"3.5";"2";"40";"3.9";"3.62";"3.62";"3.43";"2.14";"2.02";"36";"2.03";"1.96";"1.94";"1.84";"17";"0.5";"1.88";"1.84";"2.07";"2.02";"3.95";"3.57";"2.03";"2017/2018"
"N1";"12/08/17";"Heracles";"Ajax";"2";"1";"H";"0";"0";"D";"14";"29";"8";"11";"15";"16";"3";"8";"1";"1";"0";"0";"7";"4.33";"1.44";"7.25";"4.75";"1.42";"7";"4.5";"1.4";"7";"4.33";"1.4";"7.57";"5.14";"1.43";"6.5";"4.33";"1.44";"7.5";"4.75";"1.4";"41";"8.22";"7.16";"5.14";"4.59";"1.46";"1.41";"34";"1.68";"1.64";"2.32";"2.18";"17";"1.25";"2";"1.94";"1.96";"1.91";"9.72";"6.18";"1.32";"2017/2018"
"N1";"12/08/17";"PSV Eindhoven";"AZ Alkmaar";"3";"2";"H";"1";"1";"D";"25";"15";"9";"8";"10";"16";"10";"7";"0";"3";"0";"0";"1.4";"4.75";"7";"1.44";"4.6";"7.25";"1.3";"5";"8.5";"1.44";"4.6";"7.5";"1.45";"5.27";"6.85";"1.35";"4.8";"7.5";"1.4";"5";"7";"41";"1.45";"1.41";"5.5";"4.82";"8.5";"6.7";"33";"1.5";"1.45";"2.8";"2.64";"17";"-1.25";"1.98";"1.92";"1.96";"1.93";"1.47";"5.1";"6.64";"2017/2018"
"N1";"12/08/17";"Vitesse";"NAC Breda";"4";"1";"H";"3";"0";"H";"16";"5";"6";"4";"7";"12";"9";"3";"0";"1";"0";"0";"1.53";"4.2";"5.75";"1.55";"4.25";"5.75";"1.5";"4.2";"5.5";"1.53";"4";"5.5";"1.56";"4.53";"6.03";"1.53";"4";"5.5";"1.53";"4.3";"6";"41";"1.57";"1.54";"4.53";"4.19";"6.03";"5.54";"34";"1.69";"1.61";"2.35";"2.23";"18";"-1";"1.98";"1.92";"2";"1.93";"1.47";"4.82";"7.33";"2017/2018"
"N1";"12/08/17";"VVV Venlo";"Sparta Rotterdam";"3";"0";"H";"1";"0";"H";"12";"8";"6";"2";"15";"15";"3";"5";"0";"1";"0";"1";"2.25";"3.3";"3.2";"2.1";"3.5";"3.5";"2.2";"3.4";"2.95";"2.1";"3.25";"3.3";"2.17";"3.49";"3.6";"2.15";"3.3";"3.2";"2.1";"3.5";"3.5";"41";"2.25";"2.14";"3.5";"3.35";"3.6";"3.33";"40";"1.99";"1.9";"1.97";"1.87";"18";"-0.25";"1.86";"1.83";"2.08";"2.03";"2.1";"3.52";"3.78";"2017/2018"
"N1";"13/08/17";"Feyenoord";"Twente";"2";"1";"H";"1";"1";"D";"15";"7";"7";"3";"10";"24";"4";"1";"2";"4";"0";"0";"1.25";"5.5";"12";"1.26";"5.75";"12";"1.25";"5.5";"10";"1.22";"5.75";"13";"1.25";"6.7";"13.2";"1.22";"6";"11";"1.22";"6.25";"13";"39";"1.26";"1.23";"6.7";"6.02";"14.3";"11.3";"31";"1.55";"1.51";"2.63";"2.47";"17";"-1.75";"1.92";"1.88";"2.01";"1.97";"1.24";"6.7";"13.99";"2017/2018"
"N1";"13/08/17";"Groningen";"Heerenveen";"3";"3";"D";"0";"2";"A";"16";"19";"5";"8";"11";"15";"6";"6";"1";"2";"0";"0";"2.2";"3.5";"3.1";"2.15";"3.7";"3.2";"2.1";"3.4";"3.1";"2.15";"3.5";"3";"2.25";"3.66";"3.26";"2.2";"3.6";"2.9";"2.25";"3.5";"3.13";"39";"2.25";"2.19";"3.75";"3.51";"3.26";"3.07";"32";"1.63";"1.58";"2.37";"2.28";"17";"-0.25";"1.97";"1.92";"1.97";"1.92";"2.24";"3.86";"3.13";"2017/2018"
"N1";"13/08/17";"Willem II";"Excelsior";"1";"2";"A";"0";"1";"A";"9";"9";"2";"3";"7";"13";"8";"1";"3";"3";"0";"0";"2.05";"3.5";"3.4";"2";"3.4";"3.9";"1.9";"3.4";"3.7";"2";"3.3";"3.5";"2.1";"3.51";"3.78";"2";"3.4";"3.5";"2.05";"3.5";"3.6";"40";"2.1";"2.04";"3.6";"3.38";"3.9";"3.56";"39";"1.96";"1.87";"2";"1.9";"16";"-0.5";"2.11";"2.06";"1.84";"1.8";"2.16";"3.54";"3.57";"2017/2018"
"N1";"13/08/17";"Zwolle";"Roda";"4";"2";"H";"1";"1";"D";"29";"10";"10";"6";"8";"9";"7";"2";"0";"1";"0";"0";"1.85";"3.6";"4";"1.85";"3.6";"4.33";"1.8";"3.6";"4";"1.8";"3.5";"4";"1.86";"3.69";"4.61";"1.8";"3.5";"4.2";"1.83";"3.6";"4.4";"40";"1.86";"1.82";"3.7";"3.55";"4.61";"4.2";"39";"1.9";"1.78";"2.06";"1.94";"16";"-0.5";"1.87";"1.83";"2.07";"2.02";"1.74";"4.01";"5.05";"2017/2018"
"N1";"18/08/17";"Roda";"Vitesse";"1";"3";"A";"0";"1";"A";"15";"10";"4";"4";"17";"14";"5";"9";"1";"2";"0";"0";"3.6";"3.75";"1.91";"4.1";"3.9";"1.83";"4";"3.45";"1.85";"4";"3.5";"1.87";"4.15";"3.78";"1.93";"4";"3.6";"1.8";"4.1";"3.8";"1.85";"36";"4.23";"3.94";"3.9";"3.66";"1.94";"1.87";"33";"1.84";"1.74";"2.16";"2.08";"16";"0.5";"2.03";"1.97";"1.94";"1.89";"4.1";"3.85";"1.92";"2017/2018"
