"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Groningen";"AZ Alkmaar";3;0;"W";"2014-05-18";"2013/2014";"38.6";"61.4";"9";"14";"7";"4";"2";"9";"0";"1";"72.5";"83.4";"51.6";"70.5";"6";"12";"2";"0";"21.4";"4.5";"76.5";"76.5";"2";"7";"0";"2";"51";"59";"69.2";"75";"17";"8";"1";"0";"32";"25";"13";"16";"61.9";"38.1";"1";"2";"4";"4";"100";"100";"13";"15";"15";"13";"1";"3";"0";"0"
"AZ Alkmaar";"Groningen";0;0;"D";"2014-05-15";"2013/2014";"63.4";"36.6";"17";"11";"4";"4";"9";"2";"4";"5";"85.5";"75.5";"66.7";"58.9";"10";"8";"1";"0";"13";"28.6";"66.7";"40";"8";"2";"1";"0";"58";"54";"66.7";"78.6";"19";"17";"5";"4";"14";"29";"5";"14";"50";"50";"1";"4";"4";"4";"0";"66.7";"13";"13";"13";"13";"0";"3";"0";"0"
"Vitesse Arnhem";"Groningen";1;4;"L";"2014-05-10";"2013/2014";"66.1";"33.9";"22";"14";"4";"11";"14";"1";"4";"2";"81";"71.3";"62.5";"58.8";"16";"10";"1";"2";"41.4";"22.2";"80";"50";"5";"4";"0";"1";"66";"57";"78.9";"78.6";"15";"22";"2";"4";"14";"43";"10";"15";"52.2";"47.8";"2";"2";"7";"3";"0";"0";"11";"7";"5";"10";"2";"0";"0";"0"
"Heerenveen";"AZ Alkmaar";1;0;"W";"2014-05-10";"2013/2014";"60.2";"39.8";"29";"10";"6";"5";"13";"4";"10";"1";"78";"68.2";"59.5";"58.4";"18";"7";"2";"1";"22.9";"42.9";"52.2";"35";"9";"4";"0";"0";"72";"65";"85";"60";"10";"17";"1";"9";"19";"71";"9";"31";"37.5";"62.5";"6";"5";"5";"5";"0";"100";"9";"15";"14";"9";"1";"2";"0";"0"
"Groningen";"Vitesse Arnhem";1;0;"W";"2014-05-07";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"AZ Alkmaar";"Heerenveen";3;0;"W";"2014-05-07";"2013/2014";"49";"51";"17";"13";"9";"6";"5";"5";"3";"2";"74.9";"77.1";"64.7";"61.2";"15";"10";"1";"0";"26.7";"31.3";"47.6";"42.9";"3";"2";"1";"1";"67";"72";"66.7";"88.9";"23";"15";"2";"3";"23";"26";"11";"12";"44.8";"55.2";"0";"3";"6";"6";"0";"100";"8";"12";"12";"8";"1";"1";"0";"0"
"AZ Alkmaar";"Feyenoord";1;1;"D";"2014-05-03";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajax";"NEC Nijmegen";2;2;"D";"2014-05-03";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Cambuur Leeuwarden";"ADO Den Haag";1;2;"L";"2014-05-03";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"FC Twente";"PEC Zwolle";2;2;"D";"2014-05-03";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
