"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Catania";"Atalanta";2;1;"W";"2014-05-18";"2013/2014";"44.5";"55.5";"0";"0";"9";"9";"8";"6";"0";"0";"87.4";"89.3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"4";"6";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"8";"7";"8";"1";"2";"0";"0"
"Genoa";"Roma";1;0;"W";"2014-05-18";"2013/2014";"36.2";"63.8";"0";"0";"3";"4";"4";"6";"0";"0";"76.2";"89.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"5";"1";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"9";"9";"15";"0";"1";"0";"0"
"Juventus";"Cagliari";3;0;"W";"2014-05-18";"2013/2014";"48.5";"51.5";"0";"0";"8";"2";"2";"2";"0";"0";"91.9";"91.7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"11";"10";"13";"0";"0";"0";"0"
"AC Milan";"Sassuolo";2;1;"W";"2014-05-18";"2013/2014";"57.1";"42.9";"0";"0";"9";"5";"7";"9";"0";"0";"83.5";"81.4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"6";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"13";"13";"16";"0";"1";"2";"1"
"Chievo";"Inter Milan";2;1;"W";"2014-05-18";"2013/2014";"42.3";"57.7";"0";"0";"4";"3";"7";"5";"0";"0";"88";"89.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"3";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"14";"14";"15";"2";"1";"0";"0"
"Fiorentina";"Torino";2;2;"D";"2014-05-18";"2013/2014";"54.5";"45.5";"0";"0";"8";"5";"3";"5";"0";"0";"88.5";"85.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"6";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"11";"10";"13";"5";"2";"0";"0"
"Lazio";"Bologna";1;0;"W";"2014-05-18";"2013/2014";"53";"47";"0";"0";"6";"1";"5";"6";"0";"0";"82.6";"77.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"2";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"10";"10";"11";"2";"1";"0";"0"
"Napoli";"Verona";5;1;"W";"2014-05-18";"2013/2014";"62.6";"37.4";"0";"0";"11";"5";"9";"3";"0";"0";"92.2";"84.9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"5";"5";"8";"2";"1";"0";"0"
"Parma";"Livorno";2;0;"W";"2014-05-18";"2013/2014";"62.7";"37.3";"0";"0";"4";"1";"6";"5";"0";"0";"85.3";"78";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"7";"7";"15";"0";"3";"0";"0"
"Udinese";"Sampdoria";3;3;"D";"2014-05-17";"2013/2014";"55.7";"44.3";"22";"15";"12";"4";"6";"7";"4";"4";"84.5";"78";"72.5";"57.3";"16";"14";"2";"2";"20.8";"27.3";"61.9";"72.2";"6";"5";"4";"0";"61";"62";"57.1";"63.6";"14";"9";"4";"4";"20";"31";"5";"15";"50";"50";"2";"3";"1";"9";"100";"100";"15";"12";"12";"14";"3";"2";"0";"0"
"Atalanta";"AC Milan";2;1;"W";"2014-05-11";"2013/2014";"50.4";"49.6";"0";"0";"3";"2";"9";"11";"0";"0";"82.7";"82.3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"5";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"10";"10";"7";"2";"2";"0";"0"
"Bologna";"Catania";1;2;"L";"2014-05-11";"2013/2014";"64.4";"35.6";"0";"0";"6";"4";"13";"3";"0";"0";"82.3";"75.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"1";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"19";"16";"16";"4";"2";"1";"1"
"Cagliari";"Chievo";0;1;"L";"2014-05-11";"2013/2014";"60.4";"39.6";"0";"0";"3";"3";"5";"7";"0";"0";"83.5";"73.7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"3";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"19";"18";"11";"2";"2";"0";"0"
